Positive Bids,Positive Bids,Zero Bids,Zero Bids
Intent,No Intent,Intent,No Intent
203.0,203.0,0.0,0.0
201.0,201.0,0.0,0.0
201.0,201.0,0.0,0.0
132.0,132.0,192.0,192.0
132.0,132.0,192.0,192.0
122.0,122.0,0.0,0.0
115.0,115.0,0.0,0.0
82.0,82.0,0.0,0.0
75.0,75.0,0.0,0.0
71.0,71.0,1.0,1.0
71.0,71.0,1.0,1.0
62.0,62.0,0.0,0.0
52.0,52.0,8.0,8.0
52.0,52.0,8.0,8.0
15.0,15.0,0.0,0.0
13.0,13.0,0.0,0.0
9.0,9.0,0.0,0.0
7.0,7.0,0.0,0.0
6.0,6.0,0.0,0.0
5.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
