,appnexus,rubicon,ix,pubmatic,openx,Avg.,Std.
Adult,0.21082350000000005,0.429999,0.25,0.32500000000000007,0.3355,0.30109454328732754,0.0826873762673958
Arts,0.33660000000000007,0.44879648,0.29000000000000004,0.35500000000000004,0.36900000000000005,0.36100722909090915,0.05154833543884392
Business,0.2805,0.44856000000000007,0.28,0.51,0.29700000000000004,0.3595921092896176,0.09594903163060817
Computers,0.19790000000000002,0.7500000000000001,0.21000000000000002,0.7300000000000001,0.547,0.45272626146789,0.253044363990766
Games,0.207625,0.32536000000000004,0.20750000000000002,0.25,0.343,0.258389557860262,0.05733386238782109
Health,0.21044700000000005,1.1604035000000001,0.28,0.54,0.9380000000000001,0.5906385168195718,0.38576573882503384
Home,0.20203200000000002,0.39409000000000005,0.24035,0.28,0.28200000000000003,0.2692554218916047,0.06779311033259176
Kids_and_Teens,0.20044700000000004,0.40669,0.18,0.29500000000000004,0.4712,0.3029558523255814,0.11265540423853086
News,0.1905195,0.6081080000000001,0.2407,0.32500000000000007,0.41280000000000006,0.34292763482466754,0.1608237793526521
Recreation,0.3086205,0.6739560000000001,0.23240000000000005,0.43500000000000005,0.36300000000000004,0.4083702010101011,0.15860360446789853
Reference,0.17896800000000004,0.532435,0.2,0.58,0.521,0.372011990135635,0.17802065974530257
Regional,0.226663,0.42791850000000003,0.32500000000000007,0.35000000000000003,0.7260000000000001,0.38742800000000005,0.168215412117892
Science,0.298292,0.7045368000000001,0.28,0.58,0.44462,0.45735953024911036,0.16564585137117846
Shopping,0.4041,0.5636000000000001,0.45,0.6000000000000001,0.4661,0.49438810810810824,0.07493612104293423
Society,0.21590300000000004,0.406685,0.27,0.37000000000000005,0.452,0.31990524634146345,0.09127250015566651
Sports,0.1945805,0.34667000000000003,0.13,0.30000000000000004,0.232,0.23468038367844093,0.07431378063742182
BLOCK,0.20203200000000002,0.263223,0.28,0.37000000000000005,0.43800000000000006,0.28511487212276215,0.08326047226769377
Avg.,0.23973047876366702,0.5410920206976745,0.26085468930914707,0.435417348608838,0.45268461279461286,0.3645791446178267,0.3859558300347879
Std.,0.06139935515984305,0.21143715227921883,0.07141185492711676,0.13688808835466895,0.16654030258909178,0.08261319229476181,0.1295353506619879
